asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
BSR,2019-05-10,Materials,micro,0.00031016041575581104,,,,0.22446666728134723,0.00800854244527496,0.22297726189806824,0.7665454934245698,1,0,1,,,,
BRL,2019-05-10,Materials,micro,0.0010545735843613794,0.2958321397880264,,,,0.05112119594233849,,,1,0,1,,,,
BAT,2019-05-10,Materials,micro,0.00021090532660840195,,,,0.22389021089981465,0.006273358248798719,0.22232769678694594,0.782832602729962,1,0,1,,,,
BAU,2019-05-10,Materials,micro,0.0001619351005058723,,,,0.22366717515981127,0.020421783235451147,0.22218839951549757,0.7789746605367263,1,0,1,,,,
BBX,2019-05-10,Materials,micro,0.0006209781499827971,,,,0.223799904232064,0.5328350240256272,0.22233477569323637,0.6571688228375923,1,0,1,,,,
BCI,2019-05-10,Materials,micro,0.0002888445167619966,0.10784875393869953,,,0.22364727627983746,0.008142018152696209,0.2221740537673515,0.7824762108414414,1,0,1,,,,
BCN,2019-05-10,Materials,micro,0.00033739218099019955,,,,0.2241367444418524,0.25253603844100375,0.22271192535504603,0.7793043230336079,1,0,1,,,,
BGL,2019-05-10,Materials,micro,0.0013098948590934563,,,,,0.10891617725573945,,0.7399319291492927,1,0,1,,,,
BMT,2019-05-10,Materials,micro,0.00014367103727108417,,,,0.2230706191380915,0.0294981313400961,0.22200035004992283,0.7823960226665242,1,0,1,,,,
BHP,2019-05-10,Materials,mega,1.0,0.25479805213405904,,,0.2236485782688684,0.050320341697810994,0.2221751500581487,0.793782743504758,1,0,1,,,,
BGT,2019-05-10,Materials,micro,0.0001785089162433536,,,,0.22365568458995103,0.03537106246663107,0.22218021008086714,0.7810239138957199,1,0,1,,,,
BGS,2019-05-10,Materials,micro,0.0003298330185716883,,,,0.22367050246511255,0.023224773091297383,0.22219486905495525,0.7744841227413666,1,0,1,,,,
BC8,2019-05-10,Materials,micro,0.00017062109458925484,,,,0.2238376943898778,0.031099839829151092,0.22232368179987053,,1,0,1,,,,
BDG,2019-05-10,Materials,micro,0.0001736259790289115,,,,,0.043780032034169775,,,1,0,1,,,,
BKT,2019-05-10,Materials,micro,0.0003335891241212591,,,,0.24796555283040297,0.030432461292044848,0.2415447404788383,0.7688442211055277,1,0,1,,,,
BEM,2019-05-10,Materials,micro,0.00014353018331297526,,,,0.22366596174146272,0.03710624666310731,0.22218490562248938,0.7841958017035533,1,0,1,,,,
BLK,2019-05-10,Materials,micro,0.0002703456969303603,,,,0.2236467448557432,0.0008008542445274961,0.22217384589922634,0.7861292276987777,1,0,1,,,,
